J,Ka,R_in,beta,q_active,pmd_target,pfa_target,gamma_target,E_optimal_dB,eta_optimal,gamma_optimal,E_algorithmic_dB,eta_algorithmic,gamma_algorithmic
5.000000000000000000e+00,6.000000000000000000e+00,3.333333333333333148e-01,2.133333333333333304e+00,1.734477868303656301e-01,6.250000000000000347e-03,1.874999999999999931e-03,2.911860308508104467e+01,5.206250000000006040e+00,8.783728383524072036e-01,2.912754606480484654e+01,5.206250000000006040e+00,8.783728383524072036e-01,2.912754606480484654e+01
6.000000000000000000e+00,8.000000000000000000e+00,2.500000000000000000e-01,2.666666666666666519e+00,1.183735649701666975e-01,6.250000000000000347e-03,1.250000000000000026e-03,3.048195902826202897e+01,4.557812500000006040e+00,8.897123608283229457e-01,3.049384021737259687e+01,4.557812500000006040e+00,8.897123608283229457e-01,3.049384021737259687e+01
7.000000000000000000e+00,1.100000000000000000e+01,1.818181818181818232e-01,3.324675324675324894e+00,8.265802853306196407e-02,6.250000000000000347e-03,8.593750000000000043e-04,3.172696930071078469e+01,4.017187500000005684e+00,8.986564795083614721e-01,3.172783919094437621e+01,4.017187500000005684e+00,8.986564795083614721e-01,3.172783919094437621e+01
8.000000000000000000e+00,1.600000000000000000e+01,1.250000000000000000e-01,4.000000000000000000e+00,6.070190410618355598e-02,6.250000000000000347e-03,6.250000000000000130e-04,3.277475366509096233e+01,3.537500000000004974e+00,9.073850958651615839e-01,3.278397608092391380e+01,3.537500000000004974e+00,9.073850958651615839e-01,3.278397608092391380e+01
9.000000000000000000e+00,2.300000000000000000e+01,8.695652173913043237e-02,4.946859903381642276e+00,4.396982366360957517e-02,6.250000000000000347e-03,4.492187500000000195e-04,3.385197076750619516e+01,3.131250000000004974e+00,9.145169502214541835e-01,3.385238445832020204e+01,3.131250000000004974e+00,9.145169502214541835e-01,3.385238445832020204e+01
1.000000000000000000e+01,3.200000000000000000e+01,6.250000000000000000e-02,6.400000000000000355e+00,3.078156437167777967e-02,6.250000000000000347e-03,3.125000000000000065e-04,3.502547208364717335e+01,2.796875000000004441e+00,9.197676600583994944e-01,3.502641031980429176e+01,2.796875000000004441e+00,9.197676600583994944e-01,3.502641031980429176e+01
1.100000000000000000e+01,4.500000000000000000e+01,4.444444444444444614e-02,8.274747474747474740e+00,2.173826535452152639e-02,6.250000000000000347e-03,2.197265625000000054e-04,3.615481275552892981e+01,2.501562500000003464e+00,9.239600751159151582e-01,3.616030927710276188e+01,2.501562500000003464e+00,9.239600751159151582e-01,3.616030927710276188e+01
1.200000000000000000e+01,6.400000000000000000e+01,3.125000000000000000e-02,1.066666666666666607e+01,1.550544107641724755e-02,6.250000000000000347e-03,1.562500000000000033e-04,3.723949164643339316e+01,2.232812500000004086e+00,9.280403854326062518e-01,3.724426151931127293e+01,2.232812500000004086e+00,9.280403854326062518e-01,3.724426151931127293e+01
1.300000000000000000e+01,9.100000000000000000e+01,2.197802197802197974e-02,1.384953508030431202e+01,1.104759857014523360e-02,6.250000000000000347e-03,1.110839843750000038e-04,3.831711862921114431e+01,1.990625000000003642e+00,9.320973651335886512e-01,3.832632061073742591e+01,1.990625000000003642e+00,9.320973651335886512e-01,3.832632061073742591e+01
1.400000000000000000e+01,1.280000000000000000e+02,1.562500000000000000e-02,1.828571428571428470e+01,7.782298312545505095e-03,6.250000000000000347e-03,7.812500000000000163e-05,3.942113547832266818e+01,1.776562500000003375e+00,9.353106936274128147e-01,3.942486193438615061e+01,1.776562500000003375e+00,9.353106936274128147e-01,3.942486193438615061e+01
1.500000000000000000e+01,1.810000000000000000e+02,1.104972375690607689e-02,2.413848987108655564e+01,5.508537983458214153e-03,6.250000000000000347e-03,5.523681640625000163e-05,4.050127874844481113e+01,1.584375000000003197e+00,9.376703001994585174e-01,4.051435368282022154e+01,1.584375000000003197e+00,9.376703001994585174e-01,4.051435368282022154e+01
1.600000000000000000e+01,2.560000000000000000e+02,7.812500000000000000e-03,3.200000000000000000e+01,3.898660216318197268e-03,6.250000000000000347e-03,3.906250000000000081e-05,4.157394053833024117e+01,1.407812500000003020e+00,9.396094245479083007e-01,4.157943585172142065e+01,1.407812500000003020e+00,9.396094245479083007e-01,4.157943585172142065e+01
1.700000000000000000e+01,3.620000000000000000e+02,5.524861878453038444e-03,4.259733506662333014e+01,2.758040953225717774e-03,6.250000000000000347e-03,2.761840820312500081e-05,4.264079368122930447e+01,1.243750000000003020e+00,9.419043589164248775e-01,4.264427386474466886e+01,1.243750000000003020e+00,9.419043589164248775e-01,4.264427386474466886e+01
1.800000000000000000e+01,5.120000000000000000e+02,3.906250000000000000e-03,5.688888888888888573e+01,1.951222610555417274e-03,6.250000000000000347e-03,1.953125000000000041e-05,4.370084403107583881e+01,1.090625000000002842e+00,9.443466224243898255e-01,4.370150888209727924e+01,1.090625000000002842e+00,9.443466224243898255e-01,4.370150888209727924e+01
1.900000000000000000e+01,7.240000000000000000e+02,2.762430939226519222e-03,7.622681011922070127e+01,1.379968693436834076e-03,6.250000000000000347e-03,1.380920410156250041e-05,4.475569430166946461e+01,9.515625000000026423e-01,9.463732468786707486e-01,4.477156765834718044e+01,9.515625000000026423e-01,9.463732468786707486e-01,4.477156765834718044e+01
2.000000000000000000e+01,1.024000000000000000e+03,1.953125000000000000e-03,1.024000000000000057e+02,9.760862832313952926e-04,6.250000000000000347e-03,9.765625000000000203e-06,4.580431662507599100e+01,8.234375000000024869e-01,9.475299582207344917e-01,4.581383963974929685e+01,8.234375000000024869e-01,9.475299582207344917e-01,4.581383963974929685e+01
2.100000000000000000e+01,1.448000000000000000e+03,1.381215469613259611e-03,1.379342278347803017e+02,6.902220567873530244e-04,6.250000000000000347e-03,6.904602050781250203e-06,4.684825625130426374e+01,7.046875000000023537e-01,9.484331672182307882e-01,4.685163740001864596e+01,7.046875000000023537e-01,9.484331672182307882e-01,4.685163740001864596e+01
2.200000000000000000e+01,2.048000000000000000e+03,9.765625000000000000e-04,1.861818181818181870e+02,4.881621182898899743e-04,6.250000000000000347e-03,4.882812500000000102e-06,4.788645991756111897e+01,5.921875000000023093e-01,9.497432026297540908e-01,4.789361518921729299e+01,5.921875000000023093e-01,9.497432026297540908e-01,4.789361518921729299e+01
2.300000000000000000e+01,2.896000000000000000e+03,6.906077348066298055e-04,2.518798943069901384e+02,3.451705380544783084e-04,6.250000000000000347e-03,3.452301025390625102e-06,4.892042506421923065e+01,4.843750000000022204e-01,9.514547670199734464e-01,4.893093088506740429e+01,5.281250000000021760e-01,9.546811525550076283e-01,4.959394778359466471e+01
2.400000000000000000e+01,4.096000000000000000e+03,4.882812500000000000e-04,3.413333333333333144e+02,2.441108323769652249e-04,6.250000000000000347e-03,2.441406250000000051e-06,4.994907920956595149e+01,3.828125000000021094e-01,9.530358348829029991e-01,4.996106852555278977e+01,5.359375000000022871e-01,9.635963783485380629e-01,5.232751928416867315e+01
2.500000000000000000e+01,5.793000000000000000e+03,3.452442603141722666e-04,4.633790022440877010e+02,1.726299538989598925e-04,6.250000000000000347e-03,1.726448535919189445e-06,5.097337024740370026e+01,2.890625000000019984e-01,9.539757154940016193e-01,5.098161321164661075e+01,5.500000000000022649e-01,9.703684371844938372e-01,5.506893356957213115e+01
2.600000000000000000e+01,8.192000000000000000e+03,2.441406250000000000e-04,6.301538461538461888e+02,1.220628631319424089e-04,6.250000000000000347e-03,1.220703125000000025e-06,5.199373882530782964e+01,2.031250000000019429e-01,9.544107407208598515e-01,5.200572579280726160e+01,5.703125000000023315e-01,9.760497106873321504e-01,5.787706915360533344e+01
2.700000000000000000e+01,1.158500000000000000e+04,1.726370306430729390e-04,8.581833341325788069e+02,8.631125150649968916e-05,6.250000000000000347e-03,8.631497621536255518e-07,5.300982740932563075e+01,1.218750000000018846e-01,9.548857674963551201e-01,5.303134965152402458e+01,5.937500000000023315e-01,9.807286888475917896e-01,6.071802540560273087e+01
2.800000000000000000e+01,1.638400000000000000e+04,1.220703125000000000e-04,1.170285714285714221e+03,6.103329375642570220e-05,6.250000000000000347e-03,6.103515625000000127e-07,5.402180483223580154e+01,4.062500000000181244e-02,9.556940621724094864e-01,5.402184527450850027e+01,6.187500000000023537e-01,9.839825167930458250e-01,6.354046797053934625e+01
2.900000000000000000e+01,2.317000000000000000e+04,8.631851532153646950e-05,1.597996553212388108e+03,4.315655687688035451e-05,6.250000000000000347e-03,4.315748810768127759e-07,5.503005582738782664e+01,-3.593749999999825556e-02,9.571000618814669014e-01,5.505434345530178319e+01,6.500000000000023537e-01,9.867419111207935689e-01,6.647090144358618602e+01
3.000000000000000000e+01,3.276800000000000000e+04,6.103515625000000000e-05,2.184533333333333303e+03,3.051711248266002986e-05,6.250000000000000347e-03,3.051757812500000064e-07,5.603447849866381603e+01,-1.109374999999983291e-01,9.582675588683651213e-01,5.604595660524591239e+01,6.828125000000023759e-01,9.898569364049177866e-01,6.950322091692534343e+01
3.100000000000000000e+01,4.634100000000000000e+04,4.315832632010530522e-05,2.989735485402391987e+03,2.157897689068093340e-05,6.250000000000000347e-03,2.157920971512794611e-07,5.703537707224555220e+01,-1.796874999999983902e-01,9.589388281843588269e-01,5.704450861007838824e+01,7.218750000000024869e-01,9.927041178669644417e-01,7.267733819251299110e+01
3.200000000000000000e+01,6.553600000000000000e+04,3.051757812500000000e-05,4.096000000000000000e+03,1.525867264954661949e-05,6.250000000000000347e-03,1.525878906250000032e-07,5.803282282970475592e+01,-2.421874999999984457e-01,9.591210144359169076e-01,5.805433177048055171e+01,7.625000000000023981e-01,9.941920158840968913e-01,7.584033541876196693e+01
3.300000000000000000e+01,9.268200000000000000e+04,2.157916316005265261e-05,5.617078790756009766e+03,1.078954665061485806e-05,6.250000000000000347e-03,1.078960485756397306e-07,5.902691811374925379e+01,-3.031249999999984790e-01,9.591050950351382998e-01,5.903337780437512095e+01,8.062500000000024647e-01,9.949728190042651521e-01,7.906424939156205767e+01
3.400000000000000000e+01,1.310720000000000000e+05,1.525878906250000000e-05,7.710117647058823422e+03,7.629365427715600763e-06,6.250000000000000347e-03,7.629394531250000159e-08,6.001778385405237515e+01,-3.624999999999985456e-01,9.595038392200951893e-01,6.002133205497026580e+01,8.515625000000025535e-01,9.960676365175790137e-01,8.240508131418125970e+01
3.500000000000000000e+01,1.853640000000000000e+05,1.078958158002632631e-05,1.059220571971133177e+04,5.394787876940036384e-06,6.250000000000000347e-03,5.394802428781986528e-08,6.100551051827419968e+01,-4.203124999999986455e-01,9.605056691580482475e-01,6.103328175133903954e+01,8.984375000000025535e-01,9.973676656649562711e-01,8.586122382990612323e+01
3.600000000000000000e+01,2.621440000000000000e+05,7.629394531250000000e-06,1.456355555555555475e+04,3.814689989704393110e-06,6.250000000000000347e-03,3.814697265625000079e-08,6.199020787676352739e+01,-4.796874999999986011e-01,9.615300857380015831e-01,6.199071193437831084e+01,9.500000000000026201e-01,9.982023155436262618e-01,8.944397043826135985e+01
3.700000000000000000e+01,3.707280000000000000e+05,5.394790790013163153e-06,2.003930811837279180e+04,2.697397576417421114e-06,6.250000000000000347e-03,2.697401214390993264e-08,6.297195619009441003e+01,-5.328124999999986899e-01,9.624884278932401838e-01,6.300078869979559926e+01,1.003125000000002709e+00,9.984964827152721378e-01,9.308736973412500504e+01
3.800000000000000000e+01,5.242880000000000000e+05,3.814697265625000000e-06,2.759410526315789321e+04,1.907346813827722313e-06,6.250000000000000347e-03,1.907348632812500040e-08,6.395085559427015198e+01,-5.843749999999987566e-01,9.626905748601523038e-01,6.395327837364797574e+01,1.057812500000002487e+00,9.987710489031939032e-01,9.684133937505117729e+01
3.900000000000000000e+01,7.414550000000000000e+05,2.697399032982446499e-06,3.802335386558894970e+04,1.348697878713517928e-06,6.250000000000000347e-03,1.348698788206093046e-08,6.492698131536789674e+01,-6.062499999999987343e-01,9.640364381196718790e-01,6.539778695095533578e+01,1.110937500000002576e+00,9.991740478290216387e-01,1.006536429740288554e+02
4.000000000000000000e+01,1.048576000000000000e+06,1.907348632812500000e-06,5.242880000000000291e+04,9.536738616594773194e-07,6.250000000000000347e-03,9.536743164062500199e-09,6.590041374173989652e+01,-6.249999999999987788e-01,9.657173122741399274e-01,6.690213911044614292e+01,1.164062500000002665e+00,1.000000000000000000e+00,1.045914627943642756e+02
4.100000000000000000e+01,1.482910000000000000e+06,1.348699516491223250e-06,7.233711223209605669e+04,6.743491667296982299e-07,6.250000000000000347e-03,6.743493941030465232e-09,6.687123178055576034e+01,-6.421874999999988010e-01,9.682993353513023038e-01,6.848646277742567179e+01,1.215625000000002842e+00,1.000000000000000000e+00,1.084866634193335670e+02
4.200000000000000000e+01,2.097152000000000000e+06,9.536743164062500000e-07,9.986438095238094684e+04,4.768370445163595409e-07,6.250000000000000347e-03,4.768371582031250099e-09,6.783950478014084240e+01,-6.578124999999988010e-01,9.716407096408344879e-01,7.014613368432833340e+01,1.270312500000002842e+00,1.000000000000000000e+00,1.125409394239835734e+02
4.300000000000000000e+01,2.965821000000000000e+06,6.743495308718901241e-07,1.379451442565458419e+05,3.371747538949600077e-07,6.250000000000000347e-03,3.371748107383609650e-09,6.880530391484714414e+01,-6.734374999999988010e-01,9.747352727493595603e-01,7.178626923013864314e+01,1.328125000000002887e+00,1.000000000000000000e+00,1.167645342210458921e+02
4.400000000000000000e+01,4.194304000000000000e+06,4.768371582031250000e-07,1.906501818181818235e+05,2.384185506798620958e-07,6.250000000000000347e-03,2.384185791015625050e-09,6.976869501156561171e+01,-6.874999999999988898e-01,9.769536062966773793e-01,7.338488407573936456e+01,1.385937500000002931e+00,1.000000000000000000e+00,1.210811179436823295e+02
4.500000000000000000e+01,5.931642000000000000e+06,3.371747654359450621e-07,2.636284979125098325e+05,1.685873911583270693e-07,6.250000000000000347e-03,1.685874053691804825e-09,7.072974045851854896e+01,-7.015624999999988676e-01,9.782795871164309265e-01,7.491163069871235791e+01,1.442187500000003286e+00,1.000000000000000000e+00,1.254472829578116091e+02
4.600000000000000000e+01,8.388608000000000000e+06,2.384185791015625000e-07,3.647220869565217290e+05,1.192092824453550174e-07,6.250000000000000347e-03,1.192092895507812525e-09,7.168850142354244781e+01,-7.156249999999988454e-01,9.793427323685524044e-01,7.641172994892068004e+01,1.496875000000003064e+00,1.000000000000000000e+00,1.298599787128631249e+02
4.700000000000000000e+01,1.186328300000000000e+07,1.685873969288265315e-07,5.048205704707613331e+05,8.429369202644973673e-08,6.250000000000000347e-03,8.429369557916288737e-10,7.264503526610052120e+01,-7.281249999999988010e-01,9.807087007252185407e-01,7.795704738934168176e+01,1.548437500000003020e+00,1.000000000000000000e+00,1.342677167149210220e+02
4.800000000000000000e+01,1.677721600000000000e+07,1.192092895507812500e-07,6.990506666666666279e+05,5.960464299903392457e-08,6.250000000000000347e-03,5.960464477539062624e-10,7.359939749736656722e+01,-7.406249999999989786e-01,9.823547023505193598e-01,7.952012634516916023e+01,1.598437500000003286e+00,1.000000000000000000e+00,1.387123032502493629e+02
4.900000000000000000e+01,2.372656600000000000e+07,8.429369846441326577e-08,9.684312984541136539e+05,4.214684690140310278e-08,6.250000000000000347e-03,4.214684778958144369e-10,7.455164150614734808e+01,-7.515624999999989120e-01,9.840178492918142394e-01,8.110970128237906351e+01,1.653125000000003286e+00,1.000000000000000000e+00,1.433965080647532488e+02
5.000000000000000000e+01,3.355443200000000000e+07,5.960464477539062500e-08,1.342177280000000028e+06,2.980232194360611919e-08,6.250000000000000347e-03,2.980232238769531312e-10,7.550181816580560223e+01,-7.640624999999988676e-01,9.851732998299094213e-01,8.262403173840188231e+01,1.709375000000003197e+00,1.000000000000000000e+00,1.482304748994408499e+02
5.100000000000000000e+01,4.745313300000000000e+07,4.214684834402819995e-08,1.860907161735354923e+06,2.107342411683532977e-08,6.250000000000000347e-03,2.107342433887993211e-10,7.644997664750958677e+01,-7.749999999999989120e-01,9.857434934451282382e-01,8.411318747134642138e+01,1.768750000000003375e+00,1.000000000000000000e+00,1.532763577096547749e+02
5.200000000000000000e+01,6.710886400000000000e+07,2.980232238769531250e-08,2.581110153846153989e+06,1.490116108282535379e-08,6.250000000000000347e-03,1.490116119384765656e-10,7.739616406758686651e+01,-7.859374999999989564e-01,9.858983493740298698e-01,8.556018773077931883e+01,1.826562500000003197e+00,1.000000000000000000e+00,1.583760799457443227e+02
5.300000000000000000e+01,9.490626600000000000e+07,2.107342417201409998e-08,3.581368499943513423e+06,1.053671211392881446e-08,6.250000000000000347e-03,1.053671216943996605e-10,7.834042570595522648e+01,-7.953124999999989786e-01,9.860607266359880940e-01,8.703186239558874604e+01,1.881250000000003642e+00,1.000000000000000000e+00,1.634672909107168266e+02
5.400000000000000000e+01,1.342177280000000000e+08,1.490116119384765625e-08,4.971026962962962687e+06,7.450580569168252509e-09,6.250000000000000347e-03,7.450580596923828280e-11,7.928280521681520554e+01,-8.062499999999989120e-01,9.864731261296928455e-01,8.848792557089423383e+01,1.934375000000003508e+00,1.000000000000000000e+00,1.686014306584195879e+02
5.500000000000000000e+01,1.898125310000000000e+08,1.053671214151820122e-08,6.902273872618407942e+06,5.268356043086619422e-09,6.250000000000000347e-03,5.268356056964407385e-11,8.022334455952061205e+01,-8.156249999999989342e-01,9.872716114121380393e-01,9.000504106602093657e+01,1.987500000000003597e+00,1.000000000000000000e+00,1.738371867833956514e+02
5.600000000000000000e+01,2.684354560000000000e+08,7.450580596923828125e-09,9.586980571428570896e+06,3.725290291523020159e-09,6.250000000000000347e-03,3.725290298461914140e-11,8.116208418271240532e+01,-8.265624999999989786e-01,9.882540815668588996e-01,9.150195841398132757e+01,2.046875000000003553e+00,1.000000000000000000e+00,1.794343239190493478e+02
5.700000000000000000e+01,3.796250620000000000e+08,5.268356070759100610e-09,1.332017764891271666e+07,2.634178025012756663e-09,6.250000000000000347e-03,2.634178028482203693e-11,8.209906308735374125e+01,-8.374999999999990230e-01,9.891860246068879814e-01,9.298926677266939578e+01,2.110937500000003464e+00,1.000000000000000000e+00,1.853525654048376055e+02
5.800000000000000000e+01,5.368709120000000000e+08,3.725290298461914062e-09,1.851279006896551698e+07,1.862645147496233555e-09,6.250000000000000347e-03,1.862645149230957070e-11,8.303431885722241645e+01,-8.499999999999989786e-01,9.897904708466077617e-01,9.440636099838781092e+01,2.181250000000003464e+00,1.000000000000000000e+00,1.916827313806046789e+02
5.900000000000000000e+01,7.592501250000000000e+08,2.634178031910103353e-09,2.573729237247541919e+07,1.317089015108463546e-09,6.250000000000000347e-03,1.317089015975825284e-11,8.396788778028570732e+01,-8.640624999999989564e-01,9.900428978249365963e-01,9.574801297424127711e+01,2.253125000000004263e+00,1.000000000000000000e+00,1.982414690332377916e+02
6.000000000000000000e+01,1.073741824000000000e+09,1.862645149230957031e-09,3.579139413333333284e+07,9.313225741817976466e-10,6.250000000000000347e-03,9.313225746154785350e-12,8.489980487392529085e+01,-8.796874999999989564e-01,9.901212182132562711e-01,9.702884541159811249e+01,2.323437500000004263e+00,1.000000000000000000e+00,2.048919973232018776e+02
