trial,EbN0_dB,allocation,Pe_trial,recovered_users,missing_users,unique_decoded_messages,pre_cap_final_list_size,tree_overflow,overflow_stage,attempted_paths,oversized_final_list,amp_iterations,amp_converged,final_tau2,rel_change,amp_elapsed_sec,elapsed_sec,high_sections_pair
1,3.0,2-level power allocation,1.0,0,300,2,2,False,0,0,False,47,True,3.711383806303564,7.366446221703951e-06,14.081392765045166,14.193341732025146,7 8
1,3.0,flat power allocation,1.0,0,300,0,0,False,0,0,False,35,True,4.161695175259002,7.162101957875393e-06,10.489838361740112,10.607123851776123,7 8
1,3.5,2-level power allocation,1.0,0,300,0,0,False,0,0,False,67,True,3.7820770752566624,7.99780808210594e-06,20.05666756629944,20.162672519683838,7 8
1,3.5,flat power allocation,0.9966666666666667,1,299,2,2,False,0,0,False,45,True,4.377753341689637,6.918960467975924e-06,13.47833251953125,13.592891216278076,7 8
1,4.0,2-level power allocation,0.03333333333333333,290,10,290,290,False,0,0,False,65,True,1.086946132327004,6.2958394179353735e-06,19.486384868621826,19.6302433013916,7 8
1,4.0,flat power allocation,0.9966666666666667,1,299,2,2,False,0,0,False,61,True,4.5905016011723925,8.286252161202499e-06,18.273941040039062,18.38700771331787,7 8
1,4.5,2-level power allocation,0.006666666666666667,298,2,298,298,False,0,0,False,34,True,1.0389453729193856,2.6118488265917813e-06,10.195522546768188,10.33762502670288,7 8
1,4.5,flat power allocation,0.99,3,297,4,4,False,0,0,False,100,False,4.6666988659806075,5.1161181899420284e-05,29.947232246398926,30.06413769721985,7 8
1,5.0,2-level power allocation,0.0,300,0,300,300,False,0,0,False,26,True,1.0166217388897896,2.301336746086271e-06,7.806087255477905,7.9482948780059814,7 8
1,5.0,flat power allocation,0.0,300,0,300,300,False,0,0,False,32,True,1.0011939701154848,1.808883876543236e-06,9.598937034606934,9.74381399154663,7 8
1,5.5,2-level power allocation,0.0,300,0,300,300,False,0,0,False,19,True,1.003646933545306,1.6087017143484882e-06,5.709577322006226,5.860185146331787,7 8
1,5.5,flat power allocation,0.0,300,0,300,300,False,0,0,False,21,True,0.9964033234316346,2.3736198032404062e-07,6.304142236709595,6.453081369400024,7 8
2,3.0,2-level power allocation,0.9966666666666667,1,299,1,1,False,0,0,False,69,True,3.3898694335148,7.718251788439385e-06,20.668734788894653,20.771717309951782,7 8
2,3.0,flat power allocation,1.0,0,300,0,0,False,0,0,False,39,True,4.022205771250365,5.952479346539223e-06,11.697613716125488,11.78976583480835,7 8
2,3.5,2-level power allocation,0.9933333333333333,2,298,2,2,False,0,0,False,100,False,3.3392925694572533,0.00010766936800746138,29.94739580154419,30.045287370681763,7 8
2,3.5,flat power allocation,0.9966666666666667,1,299,1,1,False,0,0,False,53,True,4.194566532136726,7.455421251901432e-06,15.881797790527344,15.976175785064697,7 8
2,4.0,2-level power allocation,0.03333333333333333,290,10,290,290,False,0,0,False,61,True,1.061580784008809,5.303940040614523e-06,18.28003168106079,18.409603357315063,7 8
2,4.0,flat power allocation,0.99,3,297,3,3,False,0,0,False,100,False,4.2859200400893895,1.3340941086938713e-05,29.934180736541748,30.02653479576111,7 8
2,4.5,2-level power allocation,0.0033333333333333335,299,1,299,299,False,0,0,False,34,True,1.0192463347117662,2.7651624238654957e-06,10.193927764892578,10.326107025146484,7 8
2,4.5,flat power allocation,0.0,300,0,300,300,False,0,0,False,54,True,0.9920361476460015,4.085501142989231e-06,16.176229000091553,16.315171003341675,7 8
2,5.0,2-level power allocation,0.0,300,0,300,300,False,0,0,False,24,True,0.9970121509816718,3.1521132090884216e-06,7.20290470123291,7.328167915344238,7 8
2,5.0,flat power allocation,0.0,300,0,300,300,False,0,0,False,28,True,0.9866723977874189,4.6531746157205343e-07,8.39466905593872,8.523860931396484,7 8
2,5.5,2-level power allocation,0.0,300,0,300,300,False,0,0,False,19,True,0.9879548513934319,1.4868884723800199e-06,5.706932306289673,5.846346378326416,7 8
2,5.5,flat power allocation,0.0,300,0,300,300,False,0,0,False,20,True,0.9826681927969136,1.653675025984056e-06,6.003505706787109,6.145182371139526,7 8
3,3.0,2-level power allocation,1.0,0,300,0,0,False,0,0,False,51,True,3.539627147712805,7.293381407810414e-06,15.28873348236084,15.397151470184326,7 8
3,3.0,flat power allocation,1.0,0,300,0,0,False,0,0,False,39,True,4.067575621519331,5.7889934293135764e-06,11.698119401931763,11.806530952453613,7 8
3,3.5,2-level power allocation,1.0,0,300,0,0,False,0,0,False,71,True,3.6601281769715808,8.659386696322676e-06,21.27972960472107,21.38419270515442,7 8
3,3.5,flat power allocation,1.0,0,300,0,0,False,0,0,False,50,True,4.274689279140465,7.743182725911794e-06,14.99044680595398,15.09955620765686,7 8
3,4.0,2-level power allocation,0.043333333333333335,287,13,288,288,False,0,0,False,100,False,1.11334716084566,0.008759262289545967,29.96725106239319,30.131757736206055,7 8
3,4.0,flat power allocation,1.0,0,300,0,0,False,0,0,False,75,True,4.439435630975583,7.986172699078565e-06,22.423927783966064,22.538017988204956,7 8
3,4.5,2-level power allocation,0.0033333333333333335,299,1,300,300,False,0,0,False,40,True,1.0627487465864676,3.3003381755186295e-06,11.970293283462524,12.142849683761597,7 8
3,4.5,flat power allocation,0.99,3,297,3,3,False,0,0,False,100,False,3.8546109293286124,0.2569264202363655,29.88889169692993,29.997481107711792,7 8
3,5.0,2-level power allocation,0.0,300,0,300,301,False,0,0,True,27,True,1.0370353416154077,3.495487731811203e-06,8.086695671081543,8.252376079559326,7 8
3,5.0,flat power allocation,0.0,300,0,300,300,False,0,0,False,31,True,1.0134603678895264,2.069645125880131e-07,9.281271696090698,9.448758363723755,7 8
3,5.5,2-level power allocation,0.0,300,0,300,300,False,0,0,False,21,True,1.0193194575366538,1.1402424595657103e-06,6.293625593185425,6.463330268859863,7 8
3,5.5,flat power allocation,0.0,300,0,300,300,False,0,0,False,21,True,1.0103188049004244,3.057373332246411e-08,6.294275999069214,6.469331502914429,7 8
4,3.0,2-level power allocation,1.0,0,300,0,0,False,0,0,False,55,True,3.6011079124612024,6.971603682507642e-06,16.464121341705322,16.5681574344635,7 8
4,3.0,flat power allocation,1.0,0,300,0,0,False,0,0,False,38,True,4.086400627515094,6.732668787459305e-06,11.383307695388794,11.48504090309143,7 8
4,3.5,2-level power allocation,1.0,0,300,0,0,False,0,0,False,80,True,3.6956884550280047,8.904470264180502e-06,23.93913245201111,24.04204750061035,7 8
4,3.5,flat power allocation,1.0,0,300,0,0,False,0,0,False,48,True,4.297217824532455,7.992873049169318e-06,14.373517036437988,14.473029375076294,7 8
4,4.0,2-level power allocation,0.9966666666666667,1,299,1,1,False,0,0,False,100,False,3.573394483570683,0.0017784722419407547,29.922464847564697,30.02753710746765,7 8
4,4.0,flat power allocation,1.0,0,300,0,0,False,0,0,False,70,True,4.492926905236289,7.696248546582326e-06,20.95369791984558,21.05570077896118,7 8
4,4.5,2-level power allocation,0.006666666666666667,298,2,299,299,False,0,0,False,44,True,1.0526786198918754,2.2329907405396887e-06,13.177412748336792,13.329721212387085,7 8
4,4.5,flat power allocation,1.0,0,300,0,0,False,0,0,False,100,False,4.66772787302418,6.631069986418102e-05,29.851704120635986,29.959121704101562,7 8
4,5.0,2-level power allocation,0.0,300,0,300,302,False,0,0,True,28,True,1.0279978081026198,2.2566084163112047e-06,8.370970487594604,8.52520751953125,7 8
4,5.0,flat power allocation,0.0,300,0,300,302,False,0,0,True,57,True,1.0130775676629478,9.559553205265682e-07,17.02436137199402,17.172409057617188,7 8
4,5.5,2-level power allocation,0.0,300,0,300,302,False,0,0,True,21,True,1.0158484205405247,1.5295387865207548e-06,6.2866761684417725,6.445524215698242,7 8
4,5.5,flat power allocation,0.0,300,0,300,301,False,0,0,True,27,True,1.0107644319190292,2.3562684731837356e-07,8.074827194213867,8.229288816452026,7 8
5,3.0,2-level power allocation,0.9966666666666667,1,299,2,2,False,0,0,False,54,True,3.5739282706742226,7.590571892596599e-06,16.177652835845947,16.29739212989807,7 8
5,3.0,flat power allocation,1.0,0,300,0,0,False,0,0,False,36,True,4.096398277389435,5.764870780282802e-06,10.803370475769043,10.922102689743042,7 8
5,3.5,2-level power allocation,0.9933333333333333,2,298,3,3,False,0,0,False,87,True,3.5841354300894515,8.7262015815589e-06,26.086063146591187,26.21135449409485,7 8
5,3.5,flat power allocation,1.0,0,300,0,0,False,0,0,False,44,True,4.3490654419036785,6.730442234086681e-06,13.182402610778809,13.309334993362427,7 8
5,4.0,2-level power allocation,0.03,291,9,292,292,False,0,0,False,73,True,1.0997674441238363,5.769253974450119e-06,21.854748725891113,22.030327320098877,7 8
5,4.0,flat power allocation,0.9966666666666667,1,299,1,1,False,0,0,False,58,True,4.576283316459514,7.702899852375346e-06,17.37109351158142,17.496114253997803,7 8
5,4.5,2-level power allocation,0.0033333333333333335,299,1,300,300,False,0,0,False,37,True,1.0436603207745832,4.983433571595978e-06,11.096190929412842,11.266968965530396,7 8
5,4.5,flat power allocation,0.9966666666666667,1,299,1,1,False,0,0,False,100,False,4.691620794621976,1.2254982563103832e-05,29.936546564102173,30.06791090965271,7 8
5,5.0,2-level power allocation,0.0,300,0,300,301,False,0,0,True,27,True,1.0197769973524928,3.1393638933631274e-06,8.098135948181152,8.260369062423706,7 8
5,5.0,flat power allocation,0.0,300,0,300,301,False,0,0,True,35,True,1.0036048486617262,1.5443796532458572e-06,10.493711233139038,10.664798736572266,7 8
5,5.5,2-level power allocation,0.0,300,0,300,301,False,0,0,True,21,True,1.007609176924726,2.246602786183897e-06,6.306995868682861,6.473520755767822,7 8
5,5.5,flat power allocation,0.0,300,0,300,301,False,0,0,True,24,True,0.9994060490661082,2.4729137860254785e-07,7.203925848007202,7.365606307983398,7 8
